id,source,overalltext,overalltextloved,overalltextimprove,privatetext
25230,original,"Our staying in Prague was great also because of our this home for 3days. Big apartament, with terrace located in a calm and peaceful neighbourhood, in a walkable distance from the main attractions. Everything matched our expectations. 
We will see you next time for sure!",,,
25229,translation,Really nice apartment and Prague Days were very diligent and helpful on message. The only thing we have to say is that the key to the gate was really hard to use and predicted problems at times.,,,
25228,translation,"Everything was perfect, thank you very much!",,,
25227,original,"We had a great time, the communication was very very easy - questions got answered pretty quickly. 

Furtniture (and overall appartement) was pretty new.

City is in walkable distance (although not a short walk and a lot of stairs). 

Great to have an Elevator, AC was needed during the summer days.",,,
25226,original,"Highly recommend this beautiful space! Don’t hesitate, book it now. I will for sure come back to stay here again in near future during my visit in Prague. Highly recommend an Italian restaurant nearby ‘Tuscany Taste’.",,,
25225,original,We stayed with our family and kids . This location was perfect. The house was spacious and kids had a good time running around. The house was clean and had all the amenities needed. Location was very accessible. Definitely recommend it for families.,,,
25224,original,"We loved our stay in Prague. Location was perfect and apartment was spacious and comfortable. Walkable to everything. Nice market around the corner and also very close to Old Town square, but felt like a quieter spot. Prague Days responded fast when we had a couple of  quick questions. Also, they provided great recommendations on local places that we enjoyed.",,,We loved the apartment and location and hope to return.
25223,translation,"Everything absolutely perfect, room beautiful, terrace also, place super, everything close, we were definitely not naposledy☺️",,,
25221,original,Great location and nice apartment. Everything you need close to the center of Prague.,,,
25220,translation,"The room is quite large and spacious.

There are some minor housekeeping issues that the owner promised to resolve so as not to spoil his reputation.

The neighbourhood is great, very quiet, close to parks for convenient walks.

The city centre is a 15-minute walk away.",,,"Thank you for your hospitality.

To make your stay even more pleasant, I would like to ask you to fix some deficiencies in the hot water supply and equipment in the apartment, which I have already reported in advance.

Sincerely, Alexander"
25219,translation,"The accommodation was really lovely, clean and excellently equipped. We really felt at home. I will definitely recommend it. Thank you",,,We were happy with everything 👍
25218,original,The flat was great perfect amount of room for five people and great location so easily walkable to most of the city,,,
25217,translation,Top stay!!!,,,
25216,translation,The accommodation corresponded to the description and photo. Everything was at the highest level. I can and will recommend this apartment and the owner to my friends. I will be happy to stay in this apartment again. Thank you for your hospitality,,,
25215,translation,This is a clean new property in a great location.  The old town was only a 5 minute taxi ride away. There was a Lidl nearby so it was easy to get what we needed.,,,"It was a little hot in the summer, and if it had air conditioning, it would be the perfect place.
The car park access could be improved, as the system of first finding the house keys, going up to the house, then grabbing the garage remote and coming back down to park makes me feel anxious and uncomfortable."
25214,translation,"The flat is well located and within walking distance of the town centre.
It is located in a beautiful old building with a very nice entrance.
We were able to leave an hour later, which is great when you're travelling with a 10-month-old baby.
However, the flat is very noisy, the wooden floors creak a lot and you can hear a lot of noise from the street and neighbouring flats.
What ""s more, the curtains don ""t block out the light.",,,"To improve, double-glazing should be installed and the curtains changed to make the rooms dark."
25213,original,"This was an excellent place to stay - the apartment is exactly as the photos show and the view from the terrace is incredible. 

A very big open plan space with A/C and tv, very clean with really comfortable beds. Location is very walkable to all the major sites in Prague, but not so central you can’t have a bit of peace and quiet on the top floor of the building. There is also a lift to help with your luggage! 

Recommendations left on the information booklet in the apartment were brilliant and helped us to choose where to go/eat. Location is also relatively near to a large shopping centre which is great for getting snacks/other food when you’re not eating out - you don’t have to go far! 

The hosts were very responsive and flexible, allowing early check in and late check out which was really helpful for us, and actually checking into the apartment was very easy. 

Overall excellent value for money and would absolutely recommend to anyone staying in Prague!",,,"As written in my public review, this apartment was excellent, and we all really enjoyed our stay there! 

Perhaps one thing which we noticed could be improved upon would be the AC - when on during the day it occasionally makes a short buzzing noise every 5-10 minutes. While this is fine and not noticeable during the day, at night it can be a little distracting. Similarly with the fan, while good in the day the noise is a bit too loud at night to also be on then. I wonder if the AC needs checking on at all? 

But still overall a brilliant experience as this is literally the only thing we could think of that might need improving! 
Thank you! :)"
25212,original,"we are very happy with the stay. great location near the subway. all looked like on the pictures. comfortable bed, enormous bedroom with a place to work. we would be happy to stay there again in the future.",,,"thank you for a great experience. the only comment we would have is to consider changing the pans and pots. the state which they are one are not good. only one pan is usable, there rest should be thrown away. hope to have a chance to stay In the appartment in the future. thank you!"
25211,original,"Great location, very clean and spacious apartment. There is no AC and hard to leave the windows open as a lot of people smoke on the street.",,,
25210,original,"Very satisfying stay I had. The terrace was exceptional. 
Also very professional and proactive host. I had a tiny issue and they sent a person to fix it immediately although I said it’s ok. 
I would definitely come back for my next visit.",,,Thank you so much for the stay :)
25209,original,"Appartement très propre et soigné !
Nous avons beaucoup apprécié les petits détails sur notre lit à notre arrivée (bouchons oreilles, masque de nuit).

Le logement est securisé et à proximité d'une ligne de tram qui nous amène en moins de 10 min au centre de Prague. Les instructions de Check-in et out sont très claires ce qui a facilité notre arrivée autonome.

Proche d'un magasin Lidl et grand frigo pour y stocker de la nourriture. La présence du ventilateur fut un réel plus vu la canicule ! 

Nous avons vraiment été très satisfait de ce logement et avons passé un excellent séjour ! 
Hôtes très reactifs aux messages ! 
Merci beaucoup ! ❤️

Kelly & Thomas",,,"Hello,

We really enjoyed our stay in your accommodation. Everything was very clean and well taken care of!
The only small improvements we would suggest are providing a little dish soap and a hand towel in the toilet, and mentioning during check-in that the chip doesn’t work and that the key should be used instead.
Apart from that, everything was truly perfect!

Thank you for trusting us and for being so responsive to our requests ! 

Best regards,
Kelly & Thomas"
25208,original,"Modern studio apartment, just as it looks in the pictures. Great location near Tram to get around majority of places. Had a great time and enjoyed Prague, beautiful city.",,,Thank you
25207,translation,"Good accommodation, affordable and quick communication with the landlord.",,,
25206,original,"El departamento perfecto.. el departamento coincide perfectamente con lo publicado.. no hay aire acondicionado, lo cual está descrito en la Publicación, y tienes que tener las ventanas abiertas para que no sea tan caluroso. 
La comunicación con el host perfecto!",,,A tip will be that in the meantime that the construction is still going.. you should give something to do the apartment a bit cooler.. with the windows open is not that bad.. but unfortunately with the noise outside is a bit hard.. the fans are not enough. Is just a tip because off course in the publication you specify there is no air conditioning.. I just didn’t expect the noise outside
25205,original,"Everything was gratis, cause I want to sleep after midnight. But if you wanna sleep with open Windows, you want be able to Fall asleep before midnight cause the location is near centre and lot of Party goers Walk in the street until midnight in Summer.",,,"Dear administration,

 cotton beed sheets would have been better. The polyester (or other Synthetic)  bedsheets are very warm to sleep on in Summer even with open Windows... And the pants... They just take space. Hotels don't have them for a reason, they attract insects.

I made it a private Feedback, cause you can Charge that if you want. 

Best regards,
Timur Baibatirov"
25204,original,"Really clean and neat place. They have Netflix, Prime video newrly everything on the television.

The desk for working is super nice and comfortable. I would definitelly go again. Maybe the internet when it comes to streaming uploading video is a bit slow, but its very much useable, unleas you are going to high demand stream.

Overall would definitelly recommend, they are super responsive, they even brought us a new towel color as we requested.
Location wise theres Gym close by and grocery shop. If you are interestef we went to Space Gymm as private gym late night session. 🙏🙏. Getting to the central with tram is super easy and direct",,,"Thank you for your hospitality. I dont have any comments maybe about the internet if its possible for you guys to update it with no cost as I was trying to upload some videos/download stuff. Other than that it was an amazing experience. 🙏 I hope we didnt leave too super mess behind and we thank you in advance for the cleaning.

Next time I would definitely have a look at your place again!"
25203,translation,"I liked everything! The apartment is cosy, clean and fully corresponds to the description. Thank you for a comfortable stay!",,,"We liked the apartment, everything was clean and comfortable. The only thing was that we didn't have enough toilet paper for two people for 7 days (there were only two rolls).But otherwise everything was good, thanks for the welcome!"
25202,original,it was my best place in Prague.,,,
25201,translation,"Quiet accommodation despite top location directly at the railway station. We could do everything on foot.
As we were there for a week, the facilities with hoover, washing machine and clothes horse were great.
Also the small courtyard offers the possibility to drink the first coffee in the morning outside in the sun :)",,,"We felt at home.
Two things we would have been happy about.
The bed/mattress could have been a bit better for our backs.
And simple garden furniture for the patio would have been great."
25200,original,"Home was clean and fresh, neighborhood was quiet and nice, home owner was easy to reach and informative.",,,
25199,original,"Great service. Property looks better in picture than it actually is, but definitely worth it",,,
25198,original,"Great apartment with great communication. The location itself is outside of the old town but in a really great neighbourhood with lots of local cafés restaurants and amazing architecture. The apartment itself is very spacious clean and comfortable. Some things to know is that there is no AC and it’s hard to leave the windows open if you’re sensitive to noise while we were there there was construction happening next door as well as across the street which made some of the trip, frustrating. The owners did acknowledge our frustration and assisted us a little bit with the situation I suggest asking before booking if there is any construction happening in the apartments so that you can have a pleasant day otherwise I think everything was great and that apartment is very nice.",,,
25197,translation,"The accommodation was as described, very nice in a quiet area. Parking in the garage is also possible. Nothing to complain about, basic kitchen. dishes, salt, sugar, capsule coffee maker. The host was very quick to respond to any query. Thank you very much for a wonderful stay",,,
25196,translation,"The B&B is very well managed, with issues resolved positively.",,,
25195,translation,everything top,,,
25194,translation,"Wonderfully located on the Lesser Town / Mala Strana. Therefore much quieter. Located directly next to a large park. Nice pubs in the neighbourhood and everything within walking distance. Tram stop also right outside the front door. Small grocery shops and bakeries also right next door.
The flat is very stylish and equipped with everything. There were tea and coffee capsules for a good start to the day",,,Thank you for the nice stay and the good friendly communication
25193,original,"Amazing location at the city center, very clean and tidy apartment, and the communication was almost instant. They were quite helpful as well :) Highly recommended!",,,Thanks for all the help and assitance with the airport services…
25192,original,"Wonderful place, would love to stay again",,,
25191,original,"We had a wonderful stay! The apartment was very quiet and peaceful, yet within walking distance of the heart of the city — the perfect balance between central and calm. One of the highlights was definitely the beautiful view of the park, which we enjoyed every day. Everything was clean, comfortable, and exactly as described. Highly recommended!",,,
25190,translation,"Great location, clean, comfortable, modern apartment, everything is excellent!
One thing to note is that it is very difficult to park a car larger than a large mid-size car.",,,Thank you for everything!
25189,translation,Very good,,,
25188,original,"This apartment felt like home instantly. Stylishly minimalistic but filled with useful everyday things, ample storage space. The building is new, and the elevator is barrier free, so luggage and stroller were not a problem. The location is great, with easy access to the city via tram, metro, bike, walking - however you fancy. The neighborhood of Karlin is one of the best, with restaurants, bars and plenty of parks. Old meets new architecture, and everything feels close by and accessible. Highly recommended for a longer stay, the views from the bedroom at sunset are stunning!",,,"Thank you for being responsive and professional as a host. I feel that more effort can be made in maintenance of this beautiful apartment, like fixing the internet, making sure the carpets are properly vacuumed, maybe even updating the plates (some look very old). Best wished to your business!"
25187,original,We were extremely happy with the apartment. Everything was as advertised and everything went smoothly. Definitely recommend it!!,,,Thanks for everything
25186,translation,Apartment is perfectly located. Spacious and everything is there. Some noises from upstairs neighbours though. Fans are present but no air conditioning. It was 31 degrees but manageable in itself. Supermarket 50 metres away and delicious bagels on the corner for breakfast. I would come back here again and definitely recommend. Lovely city.,,,
25185,original,"Great flat in the middle of the  lively and trendy Holesovice neighbourhood with many cafés and shops. You can see that a lot of care went into the details and the decoration, everything is top quality and done with taste. Easy to reach with several tram lines and metro stop 3-5 mins from the flat. Kitchen has everything you need, Wi-Fi worked fine. And the terrace is a huge plus. Can get warm in summer, but there is air conditioning in the flat, and it has windows to three sides, you can easily cool it down in the evening. It is definitely one of the nicest flats I have ever stayed in, and I've stayed in a few! Only slightly negative point was a strange smell in the bathroom, I suppose it's due to the old house. And yes, the renovation in the house is still ongoing, there are cables hanging out anywhere in the hallways, but the flat is fine.",,,"Nothing to add, it was a great stay!"
25184,translation,"The accommodation was fine. Everything was ready for summer days. The only complaint was that there was not a pleasant smell in the main hallway of the house due to the garbage from the restaurant next door. Anyway, it can't be helped, overall the communication and accommodation was top notch.",,,
25183,original,all ok,,,perfect
25182,original,"Great place to stay! Walking into the old town from this BnB was easy and the place had all we needed. Host was responsive and friendly. The instructions to get inside were not the best for the first time, but you figure it out and then it is all good.",,,"thank you so much, we had a great stay! 
In case you want to improve your check instructions, it might be easier for guest if you update your check in instructions to this:
-to park, you will need to fully open the doors on the street and the other set inside to drive the car through and then shut the doors behind you. 
- to get to the apartment, you go up a few stairs and then 2 full flights of stairs (a few stairs to get to the ground floor > full flight to get to the 2nd floor > full flight of stairs to get to the 3rd floor where apt is), and then on the right you see the door which leads to the front door of the actual apartment. 
- label the keys so people know which to use"
25181,original,"The place was very clean, and we were very happy with how quiet it was even though it was pretty close to a busy spot in town.",,,
25180,translation,"Nice and fresh apartment with good air conditioning, in a beautiful old house. The location is perfect, in an area with great atmosphere and close to shops and restaurants.

Quick and good service from the host, who also offered tips and information. Can really be recommended!",,,
25178,original,The lady I spoke to on the phone arranged an earlier checkin for my friends after a long journey they had. I appreciate that very much.,,,Thank you for providing a quality place for my close friends.
25177,translation,"The accommodation is perfect for two people. It is within walking distance of the city centre, yet in a quiet area. And breakfast on the roof terrace added a lot to the experience:)",,,"Everything was perfect, thank you for the opportunity."
25176,original,We had a great stay here. Enjoyed sitting out on the terrace! Fairly walkable (20-30min) to most sites in Prague.,,,The shower head is not very tight so when on full speed it can loosen and spray the whole bathroom.
25175,original,"Located on the North Bank in Prague 7, a 20 min walk to the old town, via a great Beer Garden in the park! Lots of restaurants and shops, our favourites, Cafe Cruz & Bahn Mi, next door a bakery and Billa is close. Parking is difficult & expensive in the surrounding streets. You can leave the car at Horakove for 700z/day, just a 7min walk. There are many parking options around the Holesovice Metro. We parked at the P&R, which is free on Sat/Sun, so we only paid 100z (€4) from Friday 4pm until Monday 12 noon. (20min walk). Mon-Fri, more expensive, only 1st 24hrs cheap (100z), then you have to move or pay per hour after that. Fizz car park 250z/day MR.PARKIT.
Apart: Great coms, key box & fob entrance, 6th fl with lift, newly refurbished to a high standard. Great balcony, well equipped kitchen and comfy bed. WIFI & A/C´s worked well, skylight in the bedroom very annoying, the sun hits you in the face at 5.30am. We blocked it with paper, couldn´t find a cover/screen. Highly recommended!",,,"Would suggest you have a cover made for the skylight in the bedroom. 
An awning for the balcony would also be great, the sun hits it directly in the morning! 
Otherwise, a great stay, I will recommend your company to friends and family. 
Many thanks!"
25173,original,"amazing location, lots of good spots within a 5-10 min walking distance. place is recently renovated and looks much better than in the pictures. responsive host. recommended.",,,
25172,original,The location was perfect as we have family living in the same building.  The studio was big enough and comfortable for our stay.  We mainly used it for bathing and sleeping since we were out and about every day.,,,"Coming from the US it was a little bit challenging to shower without a shower curtain/door.  I had to use the mop to dry the floor every day.  A set of instructions for the washer (in English) would have been helpful, I eventually figured out how to use it.  The floor fan was much appreciated."
25171,original,"We had a wonderful two-week stay here during our time in Prague. The apartment was clean, comfortable, and in a fantastic neighborhood—quiet and local, yet just a short walk to the metro for easy access to the city center. There were great restaurants, cafés, and shops nearby, which made settling in feel effortless.

Traveling with a baby can be challenging, but the hosts were incredibly accommodating and made sure we had everything we needed. Communication was fast and helpful throughout our stay. It truly felt like a home away from home, and we’d gladly stay here again next time we’re in Prague!",,,"We really enjoyed our stay. Thank you for being accommodating with our baby and early check in. here are just a couple notes:

I wish there was a little more coffee, toilet paper, and paper towel stocked for our two week stay.

The laundry dryer accumulated water and that was not something we were used to, so having a heads up about that feature would've been nice.

Also, the main bathroom shower didn't drain well and the internet seemed to go in and out quite frequently. 

Cheers,
Dan"
25170,original,"This apartment felt like home! We enjoyed the quiet surroundings and cozy living room. 
The location was perfect, within walking distance of the Petrin Gardens and plenty of restaurants around the area. 
The communication with the host was excellent and they fixed the internet issue we had on the first day. 
Thanks!",,,"Thank you for hosting us!  We loved the apartment and enjoyed our time there.

We wanted to let you know about a few minor issues:

- The mattress was very comfortable however, the pillows were terrible! We both had neck pain after the second day. 

- Also, when we stayed at other Airbnb’s they have Olive oil and other spices for cooking and we had to buy our own in this occasion.

The internet connection kept malfunctioning so I just gave up and did not work from the apartment. 


The rest was fine!"
25169,original,"Perfect location, and beautiful apartment with great views.",,,
25168,original,Great stay! Staff was helpful and very responsive ❤️,,,
25167,translation,"good apartment, good location, slightly warm in the apartment",,,
25166,translation,"Modern house/flat. The flat has everything you need for everyday life. An absolute plus point for me was the underground car park.
Approx. 15 minutes walk to the nearest tram stop.
Flat is highly recommended and I would book again.",,,
25165,translation,"A place to recommend, super location",,,
25164,translation,"The place is nice and clean, the location is quiet, the new furniture is worth the money and the staff are very helpful.",,,
25161,original,The location is perfect! Close the everything. Host was very accommodating with our request for a late check out and responsive to our messages. Thank you!,,,Thank you again for accommodating our request to stay beyond the check out time. Much appreciated and we will definitely stay here again
25159,original,Great flat… dosent feel like a studio with the separate bedroom. Decent location with 2 supermarkets close by… really quiet even with the windows open at night. We had a great stay,,,Hank you guys!!! It was lovely
25158,original,"Everything was not bad. Positives was the bed was comfy, good location, spacious. Negatives were there was a coffee maker but they were ""phasing out"" the coffee, they said. So for a five day stay with two people there were three coffee pods. All when I was expecting coffee since that was the description. Also, they said they would provide washer sheets for laundry but it was a wild goose chase as to where these were. It ended up there were none.  We ended up having to search for detergent and buy our own.  Their iron ruined my favorite shirt. I ironed it as I had a million times and their iron burnt a hole in it. I mentioned this to the hosts and they did not acknowledge my grievance. Main room curtains do not close at all so there's lack of privacy there. At night, the room is open to all of the other buildings so act with discrepancy.  I would not stay here again.",,,"Hey guys - just like I said - if you show coffee - do you really expect guests to arrive don't then have to go out and shop for pods? And for detergent and dishwasher soap? C'mon 

No microwave isn't ideal. Oven isn't the same. Ignored about my favorite and expensive shirt being melted by the iron. 

I wish you well but these little things would make a big difference!"
25157,original,It was convenient to all the tourist spots and felt very safe.  Would definitely stay there again. Thank you!,,,
25156,original,"Hello,
Our stay was absolutely delightful. The terrace of the house was very practical, and we had a peaceful and enjoyable stay with our large family. The host responded to all our questions promptly. The location of the house is about a 15-20 minute walk to the city center, but if you prefer, you can also take the tram nearby for quicker access. The area where the house is located is quiet and suitable for walking. Everything was spotless and brand new.
Thank you for everything!",,,Thank you for everything!
25155,original,"Perfect spot in an amazing neighborhood. Felt really taken care of by our host, and had everything we needed.
Definitely coming back.",,,Thanks so much for taking such good care of us!
25153,original,"Lovely flat and just what we needed for our short break in Prague. You could walk to a tram stop in 5 minutes, which made getting into the city center very accessible. Highly recommend.",,,"Thank you for letting us stay in your flat, highly recommend !"
25152,translation,"Really great stay in a super location with nice views. Beautiful and clean apartment, perfect communication with the host.",,,"The fridge made strange noises in the apartment at night, for someone who has trouble sleeping this can be disturbing. Otherwise the apartment and your service tip-top. Thank you."
25151,original,Great place,,,
25150,translation,"Very beautiful flat, in a nice point close to the park and greenery and on the other hand with very easy access to the centre of Prague. I recommend !!!",,,
25149,translation,"The AirBnB is really great. Top location, everything within walking distance, super clean, nicely furnished, great view over the city.
We had the feeling that the pots didn't fit the induction hob and therefore cooking took a long time. Otherwise we would have appreciated a kitchen towel and a hand towel.
And the noise from outside is very loud, but the location is great.
The rest was absolutely great. A very clear recommendation :)",,,"Thanks for everything, it was really great.
As I said, a kitchen towel, hand towel and suitable pots would still be recommended.
But the accommodation was really great."
25148,translation,"Flat as expected. However, a few points need to be made (1) The curtains are translucent and the orientation of the flat means that the sun beats down on them in the morning. This means that at summer solstice time (June 2025), the flat is extremely bright in the morning, making it impossible to sleep beyond 7am without a night mask (although a night mask is provided by the host). (2) The glass bins came around 6am on Friday and were very noisy so our 1st night was cut short. (3) The neighbour's dog barked all night Friday and until 5am so our 2nd night was completely ruined. This was not the fault of the host, just an external nuisance. The other 2 nights were fine. We did experience an internet outage but this was promptly resolved. Communication with Prague Days was excellent. No air conditioning, temperature of 27°C at night...",,,Perhaps a second fan would come handy in the second room. It was really hot. Thermostat was showing 27°C. Is it so much of a problem to provide better light insulation ? I think not tbh. Small kids need a lot of sleep and don't sleep with a mask on...
25147,translation,"Everything is great, a dishwasher would make the flat perfect.",,,
25146,original,Nice place,,,
25145,translation,"I stayed here for just under a week and was very happy with my stay:)
We were able to walk to all the main Prague attractions and there was a tram right in front of the house, which was great. The room was very well soundproofed and perfect for a good night's sleep as you can see nature from the bedroom and the city centre from the living room.
Prague Days always answered all my questions quickly and kindly, and shared information about festivals that only Prague locals know about that you can't find on the internet, which made my stay very enjoyable. Thanks to them, we had a great stay!",,,
25144,original,"We had a lovely time as a family during our stay the location was great, the space was clean, and the host was responsive and friendly. However, we were disappointed to find that the listing mentioned two bedrooms, but there was actually only one. This made sleeping arrangements a bit tight for our family. Additionally, the beds were quite uncomfortable, which affected our overall rest during the stay. With a few improvements and clearer listing details, this place could be a much better experience.",,,
25143,translation,"Flat with excellent repair and perfect cleanliness. Vinohrady neighbourhood is wonderful! I liked it even more than the centre. The most delicious and inexpensive cafes in 3 minutes on foot. Near the park and children's playground. To the centre 15-20 minutes by tram or 7 minutes by taxi.
Pros: neighbourhood, cleanliness, beautiful design with good furniture, powder and detergents and everything for life.
Cons: the living room windows face the main street with tram, it is noisy to sleep there. The bedroom is a bit quieter but no black out curtains (hopefully the owners can fix this and hang dark curtains). No freezer.
Big disadvantage - check in at 16:00!!! Check out at 10:00!!! That's very early! And the agency doesn't go out of their way to accommodate you to check out later. If this suits you, then feel free to book.",,,"It would be great to have black out curtains in the bedroom, it was very bright and we had to cover the windows with a duvet."
25142,original,"Very nice apartment, very centrally located, I would definitely come back.",,,
25141,original,"We loved the stay, the location, the place. We experienced a couple of hickups initially, but overall the Prague Days was always trying to be the most helpful and ultimately helped us resolve most of the things. They were proactive also in recommending things to do, so overall we would recommend this place and Prague Days.",,,"Hello, we would like to thank you again for a beautiful stay in your place. We left 4 stars only due to challenges with the beds, kids chair and bed in the beginning and wifi throughout our stay, but we feel like we will use your services in the future again, since overall our experience was great (especially my stay in the place in your place in Mala strana is flawless). Thanks again!"
