id,source,headline,negative,positive
5556,original,Great option for Prague,,"The apartment is equipped with anything that you need. Everything is almost brand new.
Prague Days are very quick to respond  and up to assist. We received recommendations for restaurants and activities during our stay."
5553,translation,Recommended for max 2 people,"There is very little space for 4 people. You have to carefully read the instructions where the keys are to pick them up, you will get them in the message from the Host.","Modern building, equipment we liked very much. Quiet, nice place for rest.
Nearby on the street public transport stops."
5550,translation,"Excellent, well worth it.","I'd love it if there was a safe to put valuables in, like the ones in hotels where you enter your own password.","I thought it would be difficult to get the keys, but they sent me a step-by-step video and text message. It was even easier than it looked on the video. Very organised and safe. It has everything you need and the decor is beautiful. The biggest benefit is the location, which is perfect. Best location in Prague."
5549,translation,Prague room,"The mattress was made of sponge, it was constantly slipping.
Hot water was not available in the evening when I wanted to take a shower. It may be solar powered, this was a negative experience.
We were on the 6th floor and the lift broke down twice.","Good location, 6-7 min walk to the tram, it is possible to reach the Old Town. The room was clean, kitchen utensils are sufficient."
5548,original,Beautiful stay,"I got quite cold at night because the heating was in the other areas, and had to use the towels as extra blankets.","Spacious, clean and comfortable apartment. Great amenities including body lotion, toothbrush kit etc. Kitchen was easy to cook, located in a great area with grocers, shops, and cafes nearby. The staff online were very helpful - I had an issue with the electronic key ad and they responded promptly even during the evening, and they even sent a technician to fix the door in less than 30 minutes."
5547,original,great potential to be at an advanced level,"This place has great potential to be at an advanced level. Hygiene is superficially good, but it requires general maintenance for a certain period because the floor and carpets need more attention. I also think that when someone has booked for a week like us or more, it would be desirable to provide a vacuum cleaner for the tenants to maintain during their stay. I would definitely come to the same place again if I want to come to Prague again. All city transport is close, a very practical location.","In this accommodation, we had exactly what we needed, comfort ""like at home"". When you have a two-year-old child, you have to prepare meals for your family on a trip. The building provided us with everything we needed from a judge, a washing machine, an oven, a stove, an iron for clothes, comfort."
5546,translation,I spent three weeks at the apartment during a business trip and it served as a second home :),Could have been a little better tidy,"Equipped apartment in a super location, super communication"
5545,translation,A nice place to stay for a few days.,,"plenty of space, nicely decorated"
5544,translation,Truly luxury living at an affordable price,"Nowhere did we read how the electric lock on the door locks when you leave the apartment. After a short while, we figured it out, but it would have helped to state somewhere that you have to press a round button to close the door.","Wonderful apartment, really clean, great location, many restaurants and cafes within easy reach.. GREAT EXPERIENCE!!"
5541,original,,"-Building itself needs work on the inside but doesn’t affect the unit.
-No A/C… not an issue when I was there.",clean bright apartment excellent location well maintained very clean. Kitchen well equipped and everything very well thought out and presented.
5540,original,"Our stay was comfortable, but unfortunately, the check-in process was complicated, and we were required to pay the city",Check in procedure,"Clean, safe, facilities"
5539,translation,Quality,,"The hosts were very helpful and informative from check-in to check-out, and the location of the flat is convenient to all attractions!"
5538,original,,some people were too loudly,
5537,translation,"I personally don't count the third floor with no elevator into the negatives because I've pre-calculated for that, but for some it might be","It is a 3 floor with no elevator, so if you have heavy suitcases, get ready for a decent gym.",Great location and the apartment very clean with comfortable.
5534,original,Great,,Clean and spacious. Kitchen was provided what was needed. Property answered the questions immediately and supported whenever needed.
5533,original,Great location for Congress,Construction on building exterior started at 7AM daily. Was not made aware of this issue.,Location is great for the Congress Center.
5532,translation,"Was all cool: clean, cosy, convenient location!",Everything's great!,"Was all cool: clean, cosy, convenient location!"
5530,translation,"The place is not suitable for families with children, elderly people or those with injuries that prevent them from climbing the stairs, as well as people with special needs.","There's no lift
There are no lights in the stairwell
We were not told that the apartment is on the third floor
There is no reception service in the apartments
The place is dirty
We were asked to pay a fine of 3300 kroner for changing the colour of the dining table and this value is very, very high and exaggerated because there are no signs for the sensitivity of the table against hot objects.
The kitchen does not have enough utensils.
The place is too narrow
There is no wardrobe and the drawers they put in are full of bed linen and extra pillows.",The view
5529,translation,"nice flat, but there were nuances with the temperature in the flat and wi-fi","The wi-fi was slow and with frequent interruptions. The thermostat didn't work for a few days and it was very cold in the bathroom, but the guys fixed it at the end.","Good location, customer service responded quickly and tried to help at all times."
5528,translation,"We had the flat changed to Hrynenska Street. Flat and location super, very good contact with the renter. Recommends",,
5525,translation,All 100%,,"Great location,clean and fully equipped apartment"
5524,original,"I would to come again, and again, and if it's possible, again. :)",,"Greetings from Serbia, it was phenomenal 2 nights!

We are more than happy with your apartment, brand new, big, cozy, clean and with future good view! Location is also perfect, lookin forward to come again!"
5521,original,,,"The apartment is modern and clean. Everything works. It has parking place in garage which is very useful. It is included in the price of  property. Overall, the experience met my expectations. I recommend it."
5520,original,"Great place , super clean and easy access. We will definitely come back.",The noise from the street,Via booking
5518,original,,"Loud people outside all night long. Hard to sleep, even with earplugs.",Great location and easy walking to city highlights. The apartment was well equipped and comfortable. The hosts were very responsive and helpful.
5517,translation,,"It is written on the page, but please note that it is on the 4th floor without a lift.","The photos accurately reflect the reality of the apartment. The staff is courteous, always available, and responsive. Excellent location."
5516,original,Very good. Comfortable. I would recommend this place to solo travellers.,There was no elevator. I had a hard time carrying my bags up the 6th floor.,I like how homey it felt. Very comfortable and basic necessities were really available.
5515,translation,,,"Check-in was perfect, info sent in time before arrival. regarding the accommodation, so communication also on the first place. Clean, cozy, we felt great. Very quiet location, minimal traffic in the street below the window, quiet in the house.
Public transport(metro, tram) literally a few steps away. Go out for a meal or do some shopping locally, no problem. A few meters away is a large complex Vyšehrad, great to relax there.
We have nothing to complain about. We recommend the accommodation."
5513,translation,,"There were 2 bedrooms for 6 people, each with two super nice box-spring beds. So 4 lucky people. The other two sleeping places were on a sofa bed, which was not exactly wide and also very uncomfortable and hard.","Good location. The flat/apartment was nicely furnished, it was very clean, also had a garden terrace, which was totally great. There is also a kitchenette with a kettle. Everything you need is there."
5511,translation,,,Everything was in perfect order
5510,translation,"For a short stay satisfactory, there is everything you need, equipped kitchen, and the location perfect.","We only rate negatively the cleanliness, especially of the bathroom, in the shower hair, dust and hair also in the room. Uzka bathroom. I would definitely not go here in the hot summer -attic apartment.","The location was TOP, close to everywhere!"
5509,original,,"It's not that I didn't like it, but going up is quite a quest. Extra cardio.",Good location. Lots of cafes nearby. Historical buildings and a park where you can sit and have a coffee.
5508,translation,,I don't think I've found anything.,"Location ideal, close to metro or tram stop. Flat large, spacious, comfortable, clean and well equipped."
5507,original,,Broken door in shower and no disposable slippers in apartment.,Location and apartment all all was excellent.
5506,original,,,"The flat is centrally located within walking distance from the main historical sights yet there are parks as well as a shopping centre nearby. The flat was quiet, spacious, cozy, clean and tastefully furnished. We found there everything we needed to enjoy a family stay."
5504,translation,Great location but the ants in the flat were stressful,"It is impossible to open the windows, the flat immediately smells like the kitchen of a neighbouring restaurant. There are a lot of ants.","The location is great, there is everything for a comfortable stay including crockery, coffee machine etc."
5503,translation,,,"The accommodation met our expectations- everything was exactly as described.
Close to the metro , in a quiet location. The apartment was beautiful, clean, fragrant .
Written communication with the agency staff was supeeeer. They were always helpful and quick to write back,give advice.  So for us great satisfaction and definitely recommend 👍👍😍"
5502,original,"We had a great stay! The apartment is in a perfect location — close to all central spots, yet on a quiet street, so it’s",,
5501,translation,,,"The apartment was comfortable, spacious, bright and clean. The location was perfect. A short walk to the sights, as well as to Letna Park on the other side of Vltava. Communication with the host was quick and smooth. We also received useful information without being asked which was kind of them.
The photos of the apartment are very true to reality."
5499,translation,Prague is a wonderful city and definitely worth a visit.,"The flat was certainly pleasant and equipped with everything we could need.
To be completely reviewed the cleaning of the floors and especially under the bed where we found in addition to dust and animal hair also an unwashed sock. In addition, the hoover had the filter completely full and therefore not usable.","The location is within walking distance of all the city's most important and historical monuments and the characteristic restaurants in the neighbourhood,"
5498,original,,It’s a bit disappointing that things you'd normally get for free — like a second key for your partner — cost extra here. And getting only three rolls of toilet paper for a 16-night stay (with extra rolls costing €20!) doesn’t really feel like good value for your money.,Nice place within walking distance of the city centre and Holešovice. Lots of cozy cafés and restaurants worth trying.
5497,translation,We were satisfied,"the stairs to the beds were a bit loose, the TV was not working","the apartment is very nice, clean, well equipped, very good location, overall we were satisfied"
5496,translation,Disappointing and not worth the price.,"Very warm apartment, very stuffy. At 6 a.m., the whole apartment is filled with light because the curtains don't block it out, so we woke up at 6 a.m. every morning! The owner didn't really care how we felt after we tried to find a solution.",Very clean and modern apartment
5495,original,We had a very nice stay.,"Maybe a better label for the first door to the property. For someone who is here for the first time, the doors on the left and right look the same. You get the impression that you can walk into your neighbors'","Very good location, kitchen equipment."
5494,original,,"apartment was dusty, and not very clean. Cleaning service is not included in the price.
Collecting keys and getting to apartment was complicated. Bathroom had bad smell.
For this price I was expecting much more. I stayed in similar apartment few blocks away , which was in a new building and 50% cheaper.",
5493,translation,Superb stay in Prague,"The check-in instructions are a bit complicated. First of all, there is a detailed form to fill in over the phone to get the code + inventory of fixtures with reports if necessary, which I found tedious.","We enjoyed :

The balcony terrace, the coffee machine available with capsules, the underground car park with allocated space, the large TV. The flat is spacious, well-equipped, quiet and overlooks a green landscape. You feel safe and secure."
5491,translation,"Great furnished flat with garage access. Good location, close to shops, restaurants, public transport.",,"Equipment, garage, location"
5490,translation,Very well located in town,Bedding,Spacious
5489,translation,,,"We bought and prepared our own breakfasts, but the kitchen had everything we needed to prepare our meals. The location of the accommodation is perfect, right in the centre, close to everything. You can easily walk anywhere in a few minutes. The accommodation is clean, comfortable, except for the bed - it was too soft for us, but something different suits everyone. Otherwise a great stay, I can only recommend."
5486,translation,,,"This flat in the heart of Prague is a marvel!
It's very pleasant, well decorated, comfortable and very well equipped! You feel at home here and everything is close by and can be done on foot, from the architectural wonders and famous sites to everyday shops.
What's more, there's no noise either during the day or at night, with a special mention for the mezzanine where you sleep very well.
A small downside and a word of advice: add blinds for the room overlooking the landing.
We would be delighted to return!"
5484,translation,"Apartment clean, well maintained, in a good location",,
5483,translation,,,"Beautiful flat, comfortable. Metro station 5 minutes on foot.  Very easy communication with the centre of Prague."
5481,translation,,,"Flat spacious, very well stocked. Cleanliness at a high level. Very comfortable beds. Very good location close to the stop where you can get everywhere by tram."
5480,translation,Wonderful stay in Prague with Prague Days,The sofa bed was a bit uncomfortable and we lacked storage space for our clothes. Towel hooks in the bathroom would also have been nice,The room layout was almost perfect. It was chic and modernly furnished.  The bed was very comfortable but unfortunately the couch was a bit hard. The location was perfect for us quiet location and yet everything within walking distance. Shopping facilities are also nearby. The communication with the management was very nice and friendly.
5478,translation,Very much looking forward to coming again. Not all of them,These key quests are stressing me out. Talk to me. There's an easy option that's convenient for everyone,"We were very comfortable and convenient. Everything was thought out to the smallest detail. Dishes, linen, extension cords. I highly recommend it, but hope to go there again."
5476,translation,,,"Great and clean accommodation, comfortable bed, central location."
5475,translation,,Another fan would be needed as the room felt hot.,"The place was very clean and spacious, the beds were excellent."
5474,original,"Perfect, I will book in your establishment during a future stay in Prague",,"Well equipped, quiet, clean and spacious"
5473,translation,,,Everything was perfect. Thank you for a wonderful stay
5472,original,"Nice place, good breakfast but inconsiderate staff","The staff of the hotel was polite but very inconsiderate. I was traveling alone with a 1 year old child and would not receive a code to enter the building and my room despite requesting it because I unintentionally did not pay a city tax of an marginal amount as the payment did not go through (the room was paid already). Code would only be sent after paying the tax.
Additionally, when traveling with small children (and entering children for the booking in Booking app), children are charged and a cot has to be paid on top, which essentially means that payment for children is higher than for adults. This is unreasonable. When I raised this with the staff of the hotel, they pushed back and did not consider.
Additionally, our room had 2 bedrooms, but one of them did not have door.",The property is well located and is nicely furnished. The breakfast is organized in a cozy place nearby with a very good selection and good quality
5469,original,,,The Apartment is small but so good organized und modern.Our kinds loved it!Location is Perfect!!!
5467,original,,The mattress on the bed was already a little saggy and we had to turn it over to the other side to make it comfortable to sleep.,"We liked the apartment, it had everything we needed. The apartment had a shower and a bath, a large equipped kitchen and a balcony where we drank coffee in the morning. When we moved in, the socket was broken, at our request it was immediately fixed and it did not cause us any inconvenience."
5466,original,,,"We was very happy for our stay. Apartment was clean, comfortable, and exactly what we needed for a relaxing stay and the location made it easy to explore the area. 

All in all, a truly wonderful experience, and we will definitely be coming back to stay at the same place again!"
5464,original,Nice Apartment in Perfect Location,,"The Apartment is well structured, with a very nice kitchen and a bug bathroom. The location is simply Perfect"
5462,translation,"A very cosy, clean and beautiful place where you want to come back!","No comments, I liked everything.","Very cosy and beautiful apartment, stylish interior, everything is thought out to the smallest detail. I especially liked the spacious terrace - an incredibly pleasant place to relax (it's a pity that the rain was a little bit disturbing, because the terrace is really great). The coffee machine with delicious coffee was a nice bonus. Overall, a very comfortable and convenient place to stay."
5459,translation,,,The flat is very modern and tastefully furnished. It comfortably accommodated two families of 9 people. We really liked the Karlin neighbourhood. We would love to come back :-)
5458,translation,,,"I recommend it to everyone, beautiful accommodation, we were satisfied. We will definitely be back. Thank you Verca and family."
5457,original,Great location,"Had to wait to get the keys for around 25 min, else everything was fine","Location was awesome and well connected to all nearby main attraction and places, would recommend to all and also found shops open till midnight down the streets, so if you need something get it easily"
5454,translation,,Everything was perfect,Excellent in Everything! The studio is super cosy and bright. Well furnished with designer objects and furniture. It is also well located in the centre and close to the central station.
5453,original,"I can only suggest. Easy check in, friendly staff and clean apartment.",,"The apartment is very nice, clean and big."
5452,original,,,"We liked everything. The apartments have everything you need and even more. Lots of space and a comfortable seating area in the yard. It is located in a quiet area away from the center, but it doesn't take long to get there. Very convenient check-in procedure. The photos are completely realistic. Love this place!"
5451,translation,"Central location, pleasant apartment.","It was almost on the fifth floor, no elevator and the bedroom was a sofa type bedroom with no door only a curtain.",The location was excellent. It had a washer and dryer and detergent.
5448,original,,"- the mattress does not match the size of the bed frame;
- in the bath itself, the lack of a protective curtain/glass leads to the fact that it is impossible to take a shower while standing, then you need to think about how and with what to collect water from the floor;
- dust on the balcony, under the bed, broken vacuum cleaner.","- equipping the kitchen with appliances and dishes;
- silence in the apartment and around;
- availability of a washing machine;
- availability of a coffee machine"
5447,translation,Pleasant stay,"Small duvets on large beds, not practical
Dishes not very clean","Perfect location for walking to the old town.
Quiet area"
5445,original,"Lovely stay, just what we needed for our short break to Prague",,"Perfect for a family of 4, great facilities, staff were very helpful &amp; accommodating, great location, very clean and comfortable"
5444,original,Fabulous!!!,,"Excellent location, walk distance to all main attractions, clean and cozy, very well equipped with all the necessary things…"
5442,original,,The shower head is awful. It flies off the shower head unless the pressure it turned way down and the shower is spraying towards the curtain. The stove top should come with instructions none of us could figure out how to use it.,Good location for us and on main floor.
5440,original,"Perfect new apartment in the modern district, close to everything",Nothing!,"This is very new, comfortable , well equipped apartment in a modern district. It was so nice that I went to come back and live there 🤣
Supermarkets, public transport, park, cafes, everything is close to."
5439,translation,,,"Well decorated, comfortable, new, with everything you need for a stay.
Not far from the centre.
Train very close."
5438,translation,,,Fully equipped and tastefully decorated accommodation
5437,original,Really great place for the fair price.,It would be useful to have a microwave within the apartment.,"Perfect apartment to stay. The location is convenient: subway is near (15 minutes to the city center), supermarket. The windows are pointed towards the yard: the place is very quiet, green and neat"
5434,translation,,,"Comfortable
Beautiful decoration and very satisfactory equipment but , Difficulties on arrival
More than an hour spent in front of the door before being able to take possession of the rental!"
5429,translation,Large flat in the city centre,,The flat is large and very well located. The bedding was very comfortable.
5428,original,The flat was very well equipped with everything you needed to a great stay.,Pillows a bit soft  for me but that’s just personal preference.,Excellent location . Very quiet.  The flat was nice &amp; warm.   We loved Prague &amp; will definitely come back to stay again.
5427,original,Owner should inspect the maids cleaning service which was not good enough.,,
5426,original,Wonderful apartment,,"Excellent, cozy apartment in the center of Prague. My wife was delighted and that's the most important thing 😄"
5420,original,"It was a bit annoying to use elevator. As from ground floor you can access it due to access card, so the only option to",,"Nice apartment, very good location, just few min from metro IP Pavlova, which is very central and convenient. Also to the city centre 15 min walk. Has all facilities. Extra bed for child , a big plus. Very helpful staff. We had broken mattress, contacted host and got a new one same day."
5417,translation,Pleasant stay,"Few pans available and almost all damaged. In addition, having travelled with a small child with a pushchair, we found it rather inconvenient to get to the flat, as there are several flights of stairs up and down and doorways to cross to reach the lift and then the flat door. Obviously this is something that, as we do not have a pushchair, would not have inconvenienced us.","Clean flat with new furniture and very cosy, convenient location close enough to the metro."
5416,translation,,,Flat was top except for one small problem
5412,translation,One of the best houses to stay in if you want to walk around Prague,,"It was right behind the clock tower and overlooking the square. The location was very good, the house was very clean. It was 20 minutes walk from the railway station."
5408,translation,I felt at home.,,"If you are coming to Prague, it is the right establishment for safe and f/p accommodation. Every detail is thought out in the apartment. You don't need to bring anything extra."
5406,original,,Small leakage.,"Wonderful spacious studio. With all the necessary amenities. Clean, modern and comfortable. 15 minutes from the Charles Bridge."
5402,original,,"The pillows time to refresh. they lost their shape and turned yellow with time. 

There are no hooks or towel rack in the bathroom on the second floor. This causes minor inconvenience. 
Will be great if you will provide disposable slippers.","Nice apartment with everything you need for a few days stay in Prague. 
Kitchen fully equipped. 
2 showers perfect for a group of people or family. 
Quick response from the management company."
5400,translation,Great apartment!,-,"Comfortable holiday for a family with two children
I love the area - accessibility to shops, metro, bus and train station are steps or one station away
Check-in, check-out without contact
The apartment is bright, warm, cosy under the roof, lots of windows
Two bathrooms - separate toilet and shower room
Necessary utensils, coffee, tea, for cooking, etc - all available"
5399,translation,Exceptional location. Beautiful flat,"I liked everything!
To say the least, the sofa in the living room, which is very comfortable, is not so comfortable when it turns into a bed.","I liked absolutely everything!
The location is absolutely exceptional. The flat is modern, stylish, equipped, bright, spacious, spectacular views... It was very clean and tidy.
Walking distance to the clock square (town hall) and the Synagogues.
It was very easy to collect the keys and to communicate with the host, who answered any queries immediately.
The wifi works perfectly.
The heating is perfect.
Fully equipped kitchen with coffee machine, toaster and crockery and cutlery. The only thing missing is a microwave, but it has an electric oven."
5396,original,Very good location and apartment with everything necessary for the comfortable staying,"The apartment is on the 4th floor and there is no elevator, if you have a heavy luggage, it is a bit problematic to go upstairs",Location of the apartment is wonderful. Metro is two minutes walk. the shopping mall is just across the street.
5395,original,,The size of living room with bed in it was misleading in the pictures. Expected a bigger living room - was too small for a family,Nice and clean. Good location. All ameneties included
5390,original,,,Location is perfect but not suitable for person who avoid stairs. 66 stairs we have to walk to get on the 3rd floors very painful with our 3 suitcase.
5385,original,Very good for a couple who likes cultural activities and good food,,"We stayed for two weeks and enjoyed our time at this apartment.

The location is excellent. Just a short walk to the Vltava River and the streets of Ujezd and Stefanikova, which are lined with nice restaurants and convenient shops. There’s also a tram station nearby, and the entrance to Petrin Hill is just a short walk away - we recommend taking a stroll up the hill for panoramic views of Prague.

The building is peaceful and with a little interior garden. However, the elevator does not reach the floor of the main entrance, so you’ll need to go up or down one flight of stairs to access it. The same applies to the apartment itself - the elevator doesn’t reach the apartment floor.

The apartment is very well-equipped, though we had some difficulty figuring out how the heater worked since the instructions were only in Czech. However, the staff was quick to assist us via Booking.com’s messaging service and WhatsApp, which was much appreciated."
5382,original,Lovely little place! Would stay again.,"The living-room sofa is ok, but not the comfiest. Could do with a foot stall for those cosy nights in with a film. I was there for a long stay and for medical reasons and wanted to chill but found it a quite difficult to get comfy. The curtains in the living-room are a bit see-through, for me personally just made me a bit paranoid especially coming out the bathroom in a towel ant night. Other than that everything was amazing!","The bed is so comfortable, love the kitchen, the shower is absolutely amazing! Bathroom is really lovely. I love the dinning area and all the natural light and windows."
